energy,T1_Fe.txt,T2_Fe.txt,T3_Fe.txt,T4_Fe.txt,T5_Fe.txt,energy,T1_F.txt,T2_F.txt,T3_F.txt,T4_F.txt,T5_F.txt,energy,T1_O.txt,T2_O.txt,T3_O.txt,T4_O.txt,T5_O.txt,energy,T1_C.txt,T2_C.txt,T3_C.txt,T4_C.txt,T5_C.txt
709.9,2.40589,2.0806,1.588,1.27212,1.24086,694.2,1.14587,1.08543,1.25269,1.27614,1.2266,542.4,1.22506,1.45422,1.66969,1.61814,1.58247,294.2,2.47093,2.26104,2.31114,2.40046,2.4068
710,2.31322,2.0278,1.56122,1.31665,1.247,694.5,1.12806,1.12571,1.24942,1.3051,1.27947,542.6,1.23411,1.475,1.64977,1.63414,1.58141,294.5,2.43773,2.19584,2.36029,2.37738,2.36
710.1,2.39467,2.1336,1.57033,1.29324,1.26657,694.8,1.12869,1.1219,1.27596,1.26686,1.2644,542.8,1.22906,1.44241,1.63554,1.66643,1.59124,294.8,2.42657,2.2126,2.33379,2.435,2.3965
710.2,2.36433,1.9356,1.50222,1.34259,1.19929,695.1,1.14869,1.0549,1.23396,1.30981,1.26513,543,1.23344,1.43107,1.679,1.64657,1.59059,295.1,2.3733,2.1398,2.35368,2.30492,2.40815
710.3,2.40344,2.11973,1.55389,1.293,1.26057,695.4,1.14194,1.07324,1.30419,1.24981,1.25967,543.2,1.2215,1.43219,1.68446,1.619,1.599,295.4,2.41727,2.25112,2.37311,2.30562,2.3763
710.4,2.43722,2.06653,1.54556,1.29435,1.28986,695.7,1.15938,1.12729,1.21177,1.24881,1.25013,543.4,1.25678,1.42133,1.66638,1.64743,1.58888,295.7,2.44533,2.31388,2.38243,2.43115,2.41265
710.5,2.44533,2.06473,1.491,1.30141,1.24343,696,1.16025,1.12395,1.20819,1.27333,1.2728,543.6,1.21394,1.37274,1.611,1.605,1.60582,296,2.43737,2.26288,2.32346,2.35854,2.3638
710.6,2.414,2.02713,1.47944,1.319,1.32786,696.3,1.17263,1.0719,1.24746,1.29348,1.25393,543.8,1.21939,1.37404,1.65669,1.64257,1.59953,296.3,2.4849,2.25116,2.44364,2.36438,2.5113
710.7,2.41344,2.08393,1.578,1.33265,1.21814,696.6,1.16719,1.09819,1.2795,1.298,1.2952,544,1.182,1.33526,1.63108,1.59257,1.59159,296.6,2.51447,2.19052,2.392,2.45854,2.4695
710.8,2.46133,2.00173,1.53211,1.34835,1.27357,696.9,1.13631,1.08295,1.24173,1.30276,1.21047,544.2,1.19611,1.37567,1.64662,1.64557,1.58282,296.9,2.4186,2.27416,2.43479,2.407,2.33715
710.9,2.46156,2.02107,1.62911,1.26576,1.22714,697.2,1.15956,1.08105,1.21204,1.28224,1.24407,544.4,1.19117,1.26515,1.57669,1.63886,1.62018,297.2,2.40317,2.19936,2.34175,2.41131,2.4679
711,2.37656,1.9578,1.48311,1.34059,1.28443,697.5,1.13994,1.0651,1.19165,1.27471,1.2178,544.6,1.17322,1.25452,1.59785,1.65129,1.59135,297.5,2.50093,2.2746,2.45996,2.48731,2.43325
711.1,2.40978,1.93373,1.47056,1.27929,1.23414,697.8,1.12256,1.05871,1.21069,1.25229,1.1782,544.8,1.17283,1.25796,1.61577,1.65157,1.62465,297.8,2.51177,2.2354,2.43932,2.45208,2.47255
711.2,2.369,1.8394,1.43478,1.27776,1.17743,698.1,1.10175,1.02652,1.18954,1.28729,1.2206,545,1.19106,1.26493,1.60631,1.65214,1.57382,298.1,2.44953,2.3556,2.41682,2.54538,2.42895
711.3,2.396,1.8156,1.44778,1.32094,1.31029,698.4,1.17531,1.04762,1.13238,1.32657,1.2896,545.2,1.16794,1.20641,1.58492,1.64643,1.61706,298.4,2.5033,2.25844,2.49968,2.51408,2.4544
